,channel_1,channel_2,theta,alpha,beta,gamma
215,P8-1,P8-0,0.06899584759044099,0.025605089021891,0.13471468972097347,0.10928371537031692
216,C3-1,C3-0,0.09333844805456286,0.08336852276597552,0.09453890039126553,0.08817342052570906
217,C3-1,T7-0,0.13415270937151672,0.08559099996194683,0.06197349828832425,0.14467428350215372
218,C3-1,P7-0,0.0928946344227496,0.06974328982967119,0.10217794028889443,0.11120852875096847
219,C3-1,C4-0,0.17877739159528536,0.054609533493256486,0.0539304151372293,0.03262433782429173
220,C3-1,T8-0,0.1059803563557853,0.04956704437286423,0.08555676859501858,0.047114189438894685
221,C3-1,P8-0,0.10714978574940658,0.05971866718519748,0.036961421608764665,0.13401358265533414
222,T7-1,C3-0,0.14273979247221166,0.07002360651347142,0.07566395163980655,0.12265577891294445
223,T7-1,T7-0,0.094025808424325,0.045724310121383664,0.03792901377191684,0.07392290421572036
224,T7-1,P7-0,0.060428606018652714,0.09022640093422747,0.04676534989472779,0.0901072471059352
225,T7-1,C4-0,0.16104181232951414,0.06587878471944256,0.0902872444071176,0.05083485863202336
226,T7-1,T8-0,0.05127221261830036,0.021459419654331173,0.09576447383236172,0.058319069848608775
227,T7-1,P8-0,0.08309423894610356,0.11347657182858895,0.03375112333215294,0.06656746544255106
228,P7-1,C3-0,0.12113102194427372,0.060087852248965075,0.04636052707023601,0.07549713621274233
229,P7-1,T7-0,0.15276052045092506,0.121962772445851,0.09596010869310943,0.1152803581031959
230,P7-1,P7-0,0.09955738785225628,0.09700735110208812,0.1178008845388408,0.05375714358105685
231,P7-1,C4-0,0.08218467859529635,0.03786581087842249,0.08344847648783506,0.07481977050681626
232,P7-1,T8-0,0.07504811924241821,0.08407809583417289,0.0960958090666836,0.0373348319770324
233,P7-1,P8-0,0.1615740216142831,0.11455549719970813,0.06635985553764423,0.10088579637539316
234,C4-1,C3-0,0.16997958486808426,0.07777549921483877,0.07163121098000838,0.10897099977807444
235,C4-1,T7-0,0.07248028617536671,0.07248991472928422,0.061222619953558835,0.09902988851945514
236,C4-1,P7-0,0.07393705494554123,0.08266215637583495,0.13250657323945542,0.1127514435868947
237,C4-1,C4-0,0.020206878238754382,0.04846471964590052,0.031822230395078435,0.11556252805803124
238,C4-1,T8-0,0.016581651159738347,0.09396792327008884,0.11803005476152653,0.036186241182494736
239,C4-1,P8-0,0.034106200858492426,0.05954145943539799,0.05548047928287958,0.08412092132417727
240,T8-1,C3-0,0.026462710484604524,0.0765946864628418,0.04950905561096338,0.027528412428039013
241,T8-1,T7-0,0.04232058547463985,0.07710736216592977,0.036825823234594005,0.056059935266951716
242,T8-1,P7-0,0.05431367293241714,0.05604614665016934,0.058635818258241865,0.04399281885052705
243,T8-1,C4-0,0.04267783525273724,0.0661151617246701,0.06533553593403911,0.04640345934358914
244,T8-1,T8-0,0.08993448903728242,0.030850220838559563,0.04771774683167923,0.0997893807477327
245,T8-1,P8-0,0.121243511229587,0.04031688527666969,0.0321331660126274,0.15665460222452884
246,P8-1,C3-0,0.020096765309046083,0.11875317851147847,0.07988129658447672,0.05195168082845422
